Actual Top Speed,Predicted Speed (Sklearn),Predicted Speed (Manual)
130.25,136.71647573483722,136.71647573483722
135.0,93.38870962025516,93.38870962025517
118.0,117.65532067736206,117.65532067736207
232.0,198.03368537755844,198.03368537755847
122.0,104.25892656066266,104.25892656066267
209.25,154.2466143218324,154.24661432183242
112.75,181.1925042022792,181.19250420227922
130.0,215.64037478807762,215.64037478807765
131.75,120.64080279479792,120.64080279479793
131.25,129.21449502948553,129.21449502948556
